利用日,注文ID,利用項目,備考,金額（税抜き）,消費税,金額（税込）
2022/07/01,,Yahoo!ショッピング　トリプル　10GBプラン,,4546,454,5000
2022/06/30,az-market-10111677,ストアポイント原資,,32,3,35
2022/06/30,az-market-10111665,ストアポイント原資,,34,3,37
2022/06/30,az-market-10111669,ストアポイント原資,,31,3,34
2022/06/30,az-market-10111681,ストアポイント原資,,28,2,30
2022/06/30,az-market-10111654,ストアポイント原資,,20,2,22
2022/06/30,az-market-10111657,ストアポイント原資,,22,2,24
2022/06/30,az-market-10111660,ストアポイント原資,,27,2,29
2022/06/30,az-market-10111666,ストアポイント原資,,18,1,19
2022/06/30,az-market-10111680,ストアポイント原資,,28,2,30
2022/06/30,az-market-10111647,ストアポイント原資,,600,60,660
2022/06/30,az-market-10111675,ストアポイント原資,,22,2,24
2022/06/30,az-market-10111646,ストアポイント原資,,86,8,94
2022/06/30,az-market-10111670,ストアポイント原資,,91,9,100
2022/06/30,az-market-10111678,ストアポイント原資,,22,2,24
2022/06/30,az-market-10111679,ストアポイント原資,,310,31,341
2022/06/30,az-market-10111658,ストアポイント原資,,22,2,24
2022/06/30,az-market-10111671,ストアポイント原資,,37,3,40
2022/06/30,az-market-10111649,ストアポイント原資,,27,2,29
2022/06/30,az-market-10111656,ストアポイント原資,,11,1,12
2022/06/30,az-market-10111662,ストアポイント原資,,27,2,29
2022/06/30,az-market-10111650,ストアポイント原資,,22,2,24
2022/06/30,az-market-10111648,ストアポイント原資,,70,6,76
2022/06/30,az-market-10111653,ストアポイント原資,,11,1,12
2022/06/30,az-market-10111659,ストアポイント原資,,28,2,30
2022/06/30,az-market-10111672,ストアポイント原資,,27,2,29
2022/06/30,az-market-10111676,ストアポイント原資,,35,3,38
2022/06/30,az-market-10111651,ストアポイント原資,,37,3,40
2022/06/30,az-market-10111652,ストアポイント原資,,42,4,46
2022/06/30,az-market-10111655,ストアポイント原資,,273,27,300
2022/06/30,az-market-10111668,ストアポイント原資,,22,2,24
2022/06/30,az-market-10111663,ストアポイント原資,,22,2,24
2022/06/30,az-market-10111667,ストアポイント原資,,91,9,100
2022/06/30,az-market-10111673,ストアポイント原資,,32,3,35
2022/06/30,az-market-10111674,ストアポイント原資,,91,9,100
2022/06/30,az-market-10111677,キャンペーン原資,,49,4,53
2022/06/30,az-market-10111665,キャンペーン原資,,51,5,56
2022/06/30,az-market-10111669,キャンペーン原資,,48,4,52
2022/06/30,az-market-10111681,キャンペーン原資,,41,4,45
2022/06/30,az-market-10111654,キャンペーン原資,,30,3,33
2022/06/30,az-market-10111657,キャンペーン原資,,34,3,37
2022/06/30,az-market-10111660,キャンペーン原資,,40,4,44
2022/06/30,az-market-10111666,キャンペーン原資,,26,2,28
2022/06/30,az-market-10111680,キャンペーン原資,,41,4,45
2022/06/30,az-market-10111647,キャンペーン原資,,900,90,990
2022/06/30,az-market-10111675,キャンペーン原資,,34,3,37
2022/06/30,az-market-10111646,キャンペーン原資,,130,12,142
2022/06/30,az-market-10111670,キャンペーン原資,,28,2,30
2022/06/30,az-market-10111678,キャンペーン原資,,34,3,37
2022/06/30,az-market-10111679,キャンペーン原資,,465,46,511
2022/06/30,az-market-10111658,キャンペーン原資,,33,3,36
2022/06/30,az-market-10111671,キャンペーン原資,,55,5,60
2022/06/30,az-market-10111649,キャンペーン原資,,40,4,44
2022/06/30,az-market-10111656,キャンペーン原資,,18,1,19
2022/06/30,az-market-10111662,キャンペーン原資,,40,4,44
2022/06/30,az-market-10111650,キャンペーン原資,,34,3,37
2022/06/30,az-market-10111648,キャンペーン原資,,106,10,116
2022/06/30,az-market-10111653,キャンペーン原資,,18,1,19
2022/06/30,az-market-10111659,キャンペーン原資,,42,4,46
2022/06/30,az-market-10111672,キャンペーン原資,,40,4,44
2022/06/30,az-market-10111676,キャンペーン原資,,53,5,58
2022/06/30,az-market-10111651,キャンペーン原資,,55,5,60
2022/06/30,az-market-10111652,キャンペーン原資,,64,6,70
2022/06/30,az-market-10111655,キャンペーン原資,,82,8,90
2022/06/30,az-market-10111668,キャンペーン原資,,34,3,37
2022/06/30,az-market-10111663,キャンペーン原資,,33,3,36
2022/06/30,az-market-10111667,キャンペーン原資,,28,2,30
2022/06/30,az-market-10111673,キャンペーン原資,,49,4,53
2022/06/30,az-market-10111674,キャンペーン原資,,28,2,30
2022/06/30,az-market-10111681,ワイジェイカード・PayPayカード決済手数料,,91,0,91
2022/06/30,az-market-10111677,PayPay決済手数料,,106,10,116
2022/06/30,az-market-10111676,ゆっくり払い決済手数料,,126,12,138
2022/06/30,az-market-10111675,ワイジェイカード・PayPayカード決済手数料,,75,0,75
2022/06/30,az-market-10111662,PayPay決済手数料,,89,8,97
2022/06/30,az-market-10111660,PayPay決済手数料,,68,6,74
2022/06/30,az-market-10111659,PayPay決済手数料,,92,9,101
2022/06/30,az-market-10111652,ワイジェイカード・PayPayカード決済手数料,,140,0,140
2022/06/30,az-market-10111651,PayPay決済手数料,,122,12,134
2022/06/30,az-market-10111649,ワイジェイカード・PayPayカード決済手数料,,89,0,89
2022/06/30,az-market-10111679,ワイジェイカード・PayPayカード決済手数料,,1023,0,1023
2022/06/30,az-market-10111678,カード決済手数料,,81,0,81
2022/06/30,az-market-10111673,ワイジェイカード・PayPayカード決済手数料,,92,0,92
2022/06/30,az-market-10111671,ワイジェイカード・PayPayカード決済手数料,,121,0,121
2022/06/30,az-market-10111666,PayPay決済手数料,,57,5,62
2022/06/30,az-market-10111663,PayPay決済手数料,,37,3,40
2022/06/30,az-market-10111660,ワイジェイカード・PayPayカード決済手数料,,22,0,22
2022/06/30,az-market-10111657,カード決済手数料,,81,0,81
2022/06/30,az-market-10111655,PayPay決済手数料,,182,18,200
2022/06/30,az-market-10111650,PayPay決済手数料,,75,7,82
2022/06/30,az-market-10111674,PayPay決済手数料,,61,6,67
2022/06/30,az-market-10111670,PayPay決済手数料,,61,6,67
2022/06/30,az-market-10111669,PayPay決済手数料,,104,10,114
2022/06/30,az-market-10111668,PayPay決済手数料,,75,7,82
2022/06/30,az-market-10111667,PayPay決済手数料,,61,6,67
2022/06/30,az-market-10111665,ワイジェイカード・PayPayカード決済手数料,,113,0,113
2022/06/30,az-market-10111663,ワイジェイカード・PayPayカード決済手数料,,36,0,36
2022/06/30,az-market-10111658,PayPay決済手数料,,73,7,80
2022/06/30,az-market-10111656,PayPay決済手数料,,38,3,41
2022/06/30,az-market-10111653,PayPay決済手数料,,38,3,41
2022/06/30,az-market-10111647,PayPayあと払い決済手数料,,1980,198,2178
2022/06/30,az-market-10111646,ワイジェイカード・PayPayカード決済手数料,,287,0,287
2022/06/30,az-market-10111680,PayPay決済手数料,,91,9,100
2022/06/30,az-market-10111648,カード決済手数料,,251,0,251
2022/06/30,az-market-10111679,PayPayモール掲載料,,930,93,1023
2022/06/30,az-market-10111672,PayPayモール掲載料,,82,8,90
2022/06/30,az-market-10111658,PayPayモール掲載料,,66,6,72
2022/06/30,az-market-10111668,PayPayモール掲載料,,68,6,74
2022/06/30,az-market-10111670,PayPayモール掲載料,,56,5,61
2022/06/30,az-market-10111659,PayPayモール掲載料,,86,8,94
2022/06/30,az-market-10111663,PayPayモール掲載料,,66,6,72
2022/06/30,az-market-10111660,PayPayモール掲載料,,82,8,90
2022/06/30,az-market-10111666,PayPayモール掲載料,,53,5,58
2022/06/30,az-market-10111662,PayPayモール掲載料,,82,8,90
2022/06/30,az-market-10111674,PayPayモール掲載料,,56,5,61
2022/06/30,az-market-10111680,PayPayモール掲載料,,83,8,91
2022/06/30,az-market-10111671,PayPayモール掲載料,,111,11,122
2022/06/30,az-market-10111681,PayPayモール掲載料,,83,8,91
2022/06/30,az-market-10111677,PayPayモール掲載料,,97,9,106
2022/06/30,az-market-10111675,PayPayモール掲載料,,68,6,74
2022/06/30,az-market-10111667,PayPayモール掲載料,,56,5,61
2022/06/30,az-market-10111652,PayPayモール掲載料,,131,13,144
2022/06/30,az-market-10111654,PayPayモール掲載料,,60,6,66
2022/06/30,az-market-10111646,PayPayモール掲載料,,266,26,292
2022/06/30,az-market-10111650,PayPayモール掲載料,,68,6,74
2022/06/30,az-market-10111651,PayPayモール掲載料,,100,10,110
2022/06/30,az-market-10111651,PayPayモール掲載料,,14,1,15
2022/06/30,az-market-10111655,PayPayモール掲載料,,166,16,182
2022/06/30,az-market-10111657,PayPayモール掲載料,,68,6,74
2022/06/30,az-market-10111647,PayPayモール掲載料,,1800,180,1980
2022/06/30,az-market-10111678,PayPayモール掲載料,,68,6,74
2022/06/30,az-market-10111665,PayPayモール掲載料,,105,10,115
2022/06/30,az-market-10111673,PayPayモール掲載料,,100,10,110
2022/06/30,az-market-10111648,PayPayモール掲載料,,108,10,118
2022/06/30,az-market-10111648,PayPayモール掲載料,,108,10,118
2022/06/30,az-market-10111649,PayPayモール掲載料,,82,8,90
2022/06/30,az-market-10111669,PayPayモール掲載料,,97,9,106
2022/06/30,az-market-10111676,PayPayモール掲載料,,108,10,118
2022/06/30,az-market-10111656,PayPayモール掲載料,,35,3,38
2022/06/30,az-market-10111653,PayPayモール掲載料,,35,3,38
2022/06/30,az-market-10111679,PRオプション利用料,,1550,155,1705
2022/06/30,az-market-10111672,PRオプション利用料,,136,13,149
2022/06/30,az-market-10111658,PRオプション利用料,,110,11,121
2022/06/30,az-market-10111668,PRオプション利用料,,114,11,125
2022/06/30,az-market-10111670,PRオプション利用料,,184,18,202
2022/06/30,az-market-10111659,PRオプション利用料,,143,14,157
2022/06/30,az-market-10111663,PRオプション利用料,,110,11,121
2022/06/30,az-market-10111660,PRオプション利用料,,136,13,149
2022/06/30,az-market-10111666,PRオプション利用料,,175,17,192
2022/06/30,az-market-10111662,PRオプション利用料,,136,13,149
2022/06/30,az-market-10111674,PRオプション利用料,,184,18,202
2022/06/30,az-market-10111680,PRオプション利用料,,138,13,151
2022/06/30,az-market-10111671,PRオプション利用料,,184,18,202
2022/06/30,az-market-10111681,PRオプション利用料,,138,13,151
2022/06/30,az-market-10111677,PRオプション利用料,,162,16,178
2022/06/30,az-market-10111675,PRオプション利用料,,114,11,125
2022/06/30,az-market-10111667,PRオプション利用料,,184,18,202
2022/06/30,az-market-10111652,PRオプション利用料,,434,43,477
2022/06/30,az-market-10111654,PRオプション利用料,,100,10,110
2022/06/30,az-market-10111646,PRオプション利用料,,1089,108,1197
2022/06/30,az-market-10111650,PRオプション利用料,,114,11,125
2022/06/30,az-market-10111651,PRオプション利用料,,332,33,365
2022/06/30,az-market-10111651,PRオプション利用料,,23,2,25
2022/06/30,az-market-10111655,PRオプション利用料,,551,55,606
2022/06/30,az-market-10111657,PRオプション利用料,,114,11,125
2022/06/30,az-market-10111647,PRオプション利用料,,3000,300,3300
2022/06/30,az-market-10111678,PRオプション利用料,,114,11,125
2022/06/30,az-market-10111665,PRオプション利用料,,175,17,192
2022/06/30,az-market-10111673,PRオプション利用料,,332,33,365
2022/06/30,az-market-10111648,PRオプション利用料,,360,36,396
2022/06/30,az-market-10111648,PRオプション利用料,,360,36,396
2022/06/30,az-market-10111649,PRオプション利用料,,136,13,149
2022/06/30,az-market-10111669,PRオプション利用料,,323,32,355
2022/06/30,az-market-10111676,PRオプション利用料,,360,36,396
2022/06/30,az-market-10111656,PRオプション利用料,,59,5,64
2022/06/30,az-market-10111653,PRオプション利用料,,59,5,64
2022/06/30,az-market-10111670,アフィリエイト手数料,,5,1,6
2022/06/30,az-market-10111670,アフィリエイトパートナー報酬原資,,18,0,18
2022/06/30,az-market-10111663,アフィリエイト手数料,,7,1,8
2022/06/30,az-market-10111663,アフィリエイトパートナー報酬原資,,22,0,22
2022/06/30,az-market-10111675,アフィリエイト手数料,,7,1,8
2022/06/30,az-market-10111675,アフィリエイトパートナー報酬原資,,23,0,23
2022/06/30,,B-Space利用料,B-Space　動く！商品棚,3980,398,4378
2022/06/29,az-market-10111642,ストアポイント原資,,22,2,24
2022/06/29,az-market-10111634,ストアポイント原資,,32,3,35
2022/06/29,az-market-10111635,ストアポイント原資,,37,3,40
2022/06/29,az-market-10111622,ストアポイント原資,,22,2,24
2022/06/29,az-market-10111613,ストアポイント原資,,35,3,38
2022/06/29,az-market-10111617,ストアポイント原資,,91,9,100
2022/06/29,az-market-10111630,ストアポイント原資,,35,3,38
2022/06/29,az-market-10111614,ストアポイント原資,,39,3,42
2022/06/29,az-market-10111616,ストアポイント原資,,91,9,100
2022/06/29,az-market-10111627,ストアポイント原資,,182,18,200
2022/06/29,az-market-10111638,ストアポイント原資,,32,3,35
2022/06/29,az-market-10111644,ストアポイント原資,,91,9,100
2022/06/29,az-market-10111636,ストアポイント原資,,22,2,24
2022/06/29,az-market-10111639,ストアポイント原資,,1200,120,1320
2022/06/29,az-market-10111591,ストアポイント原資,,124,12,136
2022/06/29,az-market-10111620,ストアポイント原資,,31,3,34
2022/06/29,az-market-10111637,ストアポイント原資,,34,3,37
2022/06/29,az-market-10111562,ストアポイント原資,,28,2,30
2022/06/29,az-market-10111628,ストアポイント原資,,91,9,100
2022/06/29,az-market-10111624,ストアポイント原資,,47,4,51
2022/06/29,az-market-10111629,ストアポイント原資,,27,2,29
2022/06/29,az-market-10111623,ストアポイント原資,,22,2,24
2022/06/29,az-market-10111618,ストアポイント原資,,91,9,100
2022/06/29,az-market-10111621,ストアポイント原資,,34,3,37
2022/06/29,az-market-10111625,ストアポイント原資,,31,3,34
2022/06/29,az-market-10111631,ストアポイント原資,,35,3,38
2022/06/29,az-market-10111632,ストアポイント原資,,35,3,38
2022/06/29,az-market-10111633,ストアポイント原資,,91,9,100
2022/06/29,az-market-10111626,ストアポイント原資,,22,2,24
2022/06/29,az-market-10111615,ストアポイント原資,,20,2,22
2022/06/29,az-market-10111619,ストアポイント原資,,91,9,100
2022/06/29,az-market-10111641,ストアポイント原資,,91,9,100
2022/06/29,az-market-10111642,キャンペーン原資,,34,3,37
2022/06/29,az-market-10111634,キャンペーン原資,,49,4,53
2022/06/29,az-market-10111635,キャンペーン原資,,56,5,61
2022/06/29,az-market-10111622,キャンペーン原資,,34,3,37
2022/06/29,az-market-10111613,キャンペーン原資,,53,5,58
2022/06/29,az-market-10111617,キャンペーン原資,,28,2,30
2022/06/29,az-market-10111630,キャンペーン原資,,53,5,58
2022/06/29,az-market-10111614,キャンペーン原資,,59,5,64
2022/06/29,az-market-10111616,キャンペーン原資,,28,2,30
2022/06/29,az-market-10111627,キャンペーン原資,,55,5,60
2022/06/29,az-market-10111638,キャンペーン原資,,49,4,53
2022/06/29,az-market-10111644,キャンペーン原資,,28,2,30
2022/06/29,az-market-10111636,キャンペーン原資,,34,3,37
2022/06/29,az-market-10111639,キャンペーン原資,,1800,180,1980
2022/06/29,az-market-10111591,キャンペーン原資,,188,18,206
2022/06/29,az-market-10111620,キャンペーン原資,,48,4,52
2022/06/29,az-market-10111637,キャンペーン原資,,51,5,56
2022/06/29,az-market-10111562,キャンペーン原資,,42,4,46
2022/06/29,az-market-10111628,キャンペーン原資,,28,2,30
2022/06/29,az-market-10111624,キャンペーン原資,,70,7,77
2022/06/29,az-market-10111629,キャンペーン原資,,40,4,44
2022/06/29,az-market-10111623,キャンペーン原資,,34,3,37
2022/06/29,az-market-10111618,キャンペーン原資,,28,2,30
2022/06/29,az-market-10111621,キャンペーン原資,,51,5,56
2022/06/29,az-market-10111625,キャンペーン原資,,48,4,52
2022/06/29,az-market-10111631,キャンペーン原資,,53,5,58
2022/06/29,az-market-10111632,キャンペーン原資,,53,5,58
2022/06/29,az-market-10111633,キャンペーン原資,,28,2,30
2022/06/29,az-market-10111626,キャンペーン原資,,34,3,37
2022/06/29,az-market-10111615,キャンペーン原資,,30,3,33
2022/06/29,az-market-10111619,キャンペーン原資,,28,2,30
2022/06/29,az-market-10111641,キャンペーン原資,,28,2,30
2022/06/29,az-market-10111639,PayPay決済手数料,,18,1,19
2022/06/29,az-market-10111634,PayPay決済手数料,,107,10,117
2022/06/29,az-market-10111633,PayPay決済手数料,,61,6,67
2022/06/29,az-market-10111629,カード決済手数料,,97,0,97
2022/06/29,az-market-10111628,PayPay決済手数料,,61,6,67
2022/06/29,az-market-10111621,PayPay決済手数料,,45,4,49
2022/06/29,az-market-10111613,PayPay決済手数料,,116,11,127
2022/06/29,az-market-10111637,ワイジェイカード・PayPayカード決済手数料,,113,0,113
2022/06/29,az-market-10111630,カード決済手数料,,126,0,126
2022/06/29,az-market-10111627,ワイジェイカード・PayPayカード決済手数料,,121,0,121
2022/06/29,az-market-10111626,カード決済手数料,,81,0,81
2022/06/29,az-market-10111624,ゆっくり払い決済手数料,,168,16,184
2022/06/29,az-market-10111622,PayPay決済手数料,,75,7,82
