"ストアアカウント","カテゴリ","商品コード","商品名","表示回数","クリック数","CTR","CPC","利用金額","注文数","注文個数","売上金額","CVR","ROAS"
"az-market","DIY、工具 > 道具、工具 > 電動工具 > 発電機 > 太陽光発電、ソーラーパネル","az-market_l0822","ソーラーパネル ソーラー 太陽光 折りたたみ 折り畳み ソーラーパネル充電器 折り畳み ソーラー充電器 ソーラー充電 蓄電池 PowerArQ Solar 120W","27637","162","0.59","52.3","8473","5","5","180850","3.09","2134.43"
"az-market","キッチン、日用品、文具 > 防災、防犯、セーフティ > 避難生活用品 > 非常用食品","az-market_dd-efk-3d","非常食 セット 長期保存 3日分 防災 非常食 食品 栄養士 と 防災士 監修 カロリー計算した 献立表 付属 父の日","1572","23","1.46","13.35","307","-","-","10800","4.35","3517.92"
"az-market","テレビ、オーディオ、カメラ > オーディオ機器 > イヤホン、ヘッドホン > イヤホン","az-market_is-btep05","イヤホン iPhone ワイヤレス bluetooth ワイヤレスイヤホン スマホ スポーツ 高音質 重低音 イヤフォン ブルートゥース 22時間連続再生 ランニング iina-style","174","-","2.87","10.0","50","-","-","0","0.0","0.0"
"az-market","DIY、工具 > 道具、工具 > 電動工具 > 発電機 > 太陽光発電、ソーラーパネル","az-market_l0838","ソーラーパネル ソーラー 太陽光 折りたたみ 折り畳み ソーラーパネル充電器 折り畳み ソーラー充電器 ソーラー充電 蓄電池 PowerArQ Solar 210W","1050","-","0.38","15.0","60","-","-","22350","25.0","37250.0"
"az-market","コスメ、美容、ヘアケア > メンズシェービング用品 > シェービングフォーム、ローション","az-market_null-after-shave-lotion","化粧水 メンズ 美容液 男性 アフターシェーブローション NULL","1040","-","0.19","11.0","22","-","-","0","0.0","0.0"
"az-market","車、バイク、自転車 > 自動車 > オイル、バッテリーメンテナンス用品 > バッテリー > バッテリー充電器、発電機","az-market_hte060","ポータブル電源 大容量 車中泊 正弦波 蓄電池 ポータブル 電源 家庭用 キャンプ ポータブルバッテリー 蓄電池 防災 停電 PowerArQ Pro 1000Wh","11534","248","2.15","76.84","19056","5","6","511200","2.02","2682.62"
"az-market","キッチン、日用品、文具 > 防災、防犯、セーフティ > 避難生活用品 > 非常用食品","az-market_dd-efk-5d","非常食セット 5日分 非常食 長期保存 食品 防災 父の日","6638","68","1.02","12.26","834","-","-","17820","1.47","2136.69"
"az-market","スマホ、タブレット、パソコン > スマホ、タブレットアクセサリー、周辺機器 > スマホ液晶保護フィルム","az-market_iina-glassfilm","iPhone11 ガラスフィルム iPhoneXs フィルム iPhone8 保護フィルム iPhone11 Pro Max ガラス 強化ガラスフィルム 液晶保護 iina-style","14","-","0.0","0.0","0","-","-","0","0.0","0.0"
"az-market","テレビ、オーディオ、カメラ > テレビ、映像機器 > AVケーブル > HDMIケーブル","az-market_is-hc1m","HDMIケーブル 1.0m ハイスピード 伝送速度 18Gbps HDCP2.2 4K 3D Ethernet HDR HDMI ARC CEC HEC iina-style","138","-","0.72","11.0","11","-","-","0","0.0","0.0"
"az-market","コスメ、美容、ヘアケア > 脱毛、除毛 > 脱毛、除毛剤","az-market_null-honey-suger-wax","[ヒカキンさん購入！]NULL ブラジリアンワックス メンズ vio セルフ 脱毛 レディース 男性 女性 ムダ毛 処理 に( 脇 すね毛 腕 背中) 純国産 ハチミツ","12803","119","0.93","33.08","3936","-","-","27794","5.04","706.15"
"az-market","キッチン、日用品、文具 > 防災、防犯、セーフティ > 避難生活用品 > 非常用食品","az-market_dd-efk-7d","非常食セット 7日分 非常食 長期保存 備蓄 保存食 栄養士と防災士監修 備蓄 防災セット 食品 防災 防災グッズ Defend 父の日","9099","83","0.91","13.96","1159","6","6","72930","7.23","6292.49"
"az-market","車、バイク、自転車 > 自動車 > オイル、バッテリーメンテナンス用品 > バッテリー > バッテリー充電器、発電機","az-market_ac30","ポータブル電源 リン酸鉄 PowerArQ mini 2 300Wh","4849","75","1.55","13.4","1005","-","-","212300","5.33","21124.38"
"az-market","コスメ、美容、ヘアケア > 日焼け止め","az-market_null-sunscreen","ウォータープルーフ メンズ NULL 日焼け止め (特殊技術で 汗/水 に強い)SPF50+ PA++++ (顔＆からだ用) ロングUVA対応 40g (白くならない/クレンジング不要)","32143","333","1.04","30.22","10063","43","54","111054","12.91","1103.59"
"az-market","キッチン、日用品、文具 > 防災、防犯、セーフティ > 避難用具 > 防災ヘルメット","az-market_kgo-1","防災ヘルメット ヘルメット 防災 折りたたみ 国家検定品 日本製 軽量 オサメット 防災用ヘルメット","2490","21","0.84","13.62","286","-","-","0","0.0","0.0"
"az-market","スポーツ > フィットネス、トレーニング > プロテイン > ホエイプロテイン","az-market_db-plus-chocolate","プロテイン ホエイ 女性 WPI  1kg 50代  40代 ダイエット チョコレート ヨーグルト FIXIT DAILY BASIC＋","1051","12","1.14","10.0","120","-","-","15120","16.67","12600.0"
"az-market","車、バイク、自転車 > 自動車 > オイル、バッテリーメンテナンス用品 > バッテリー > バッテリー充電器、発電機","az-market_ac50","ポータブル電源 車中泊 大容量 正弦波 蓄電池 ポータブル 電源 家庭用 キャンプ リチウム ポータブルバッテリー 停電 防災 PowerArQ 2 500Wh","15788","321","2.03","72.87","23391","8","8","308180","2.49","1317.52"
