受注番号,商品コード,個数
286314-20220708-0059412138,daily_basic-f-vanilla,1
286314-20220708-0052912138,null-remover-vio,1
286314-20220708-0392512118,nalc-facewash,1
286314-20220708-0084812129,null-remover-vio,1
286314-20220708-0877412010,null-bodywash-re,1
286314-20220708-0951811987,fixit-shaker-mb_aw,1
286314-20220708-0026012134,null-remover-vio,1
286314-20220708-0558312113,null-deodorant-gel,1
286314-20220708-0682412028,null-remover-vio,1
286314-20220708-0360312116,think_simple-wpc,1
286314-20220708-0801412023,null-remover-vio,1
286314-20220708-0999611968,DD-EK01RLF2,1
286314-20220708-0778512011,null-roland-bb-l,1
286314-20220708-0860511997,nalc-milklotion-re,1
286314-20220708-0991611969,feel_natural_plane,1
286314-20220708-0991611969,daily_basic-plus_chocolate,1
286314-20220708-0536212111,null-sunscreen,3
286314-20220708-0664712026,daily_basic-f-strawberry,1
286314-20220708-0785012016,think_simple-wpc,1
286314-20220708-0945411973,nalc-threeprotectgel,1
286314-20220708-0526512112,daily_basic-f-banana,2
286314-20220708-0914611972,null-bbcream,1
286314-20220708-0998711960,think_simple-wpi,1
286314-20220708-0119612119,daily_basic-f-coffee,1
286314-20220708-0841111978,null-sunscreen,1
286314-20220708-0941511969,null-remover-vio,1
286314-20220708-0980311959,nalc-milklotion-f,1
286314-20220708-0805412000,think_simple-wpi,1
286314-20220708-0919811970,null-remover-vio,1
286314-20220708-0858111983,null-remover-vio,1
286314-20220708-0909111967,null-deodorant-gel,1
286314-20220708-0783112006,null-bodywash-re,1
286314-20220708-0680712022,nalc-threeprotectgel,1
286314-20220708-0901011965,daily_basic-f-coffee,2
286314-20220708-0551012029,null-remover-vio,2
286314-20220708-0876111961,fixit-shaker-mb_aw,1
286314-20220708-0653912020,nalc-cleansingbalm,3
286314-20220708-0915411956,null-remover-vio,1
286314-20220708-0739311993,daily_basic-f-fruitsmix,1
286314-20220708-0022212120,null-deodorant-gel,2
286314-20220708-0834011967,daily_basic-f-coffee,1
286314-20220708-0797411976,daily_basic-f-banana,1
286314-20220708-0864711957,null-remover-vio,1
286314-20220708-0634212020,null-aftershave-lotion-c,1
286314-20220708-0634212020,null-honey-wax2,1
286314-20220708-0841111964,null-remover-vio,1
286314-20220708-0684012007,null-remover-vio,1
286314-20220708-0712211987,null-remover-vio,1
286314-20220708-0668812003,null-bodywash,1
286314-20220708-0578912020,null-remover-vio,1
286314-20220708-0756511967,daily_basic-plus_chocolate,1
286314-20220708-0692911982,null-allinonemist,1
