利用日,注文ID,利用項目,備考,金額（税抜き）,消費税,金額（税込）
2022/06/30,az-market-10111681,ワイジェイカード・PayPayカード決済金額,,3036,0,3036
2022/06/30,az-market-10111677,PayPay決済金額,,3545,0,3545
2022/06/30,az-market-10111676,ゆっくり払い決済金額,,3880,0,3880
2022/06/30,az-market-10111675,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/30,az-market-10111662,PayPay決済金額,,2979,0,2979
2022/06/30,az-market-10111660,PayPay決済金額,,2251,0,2251
2022/06/30,az-market-10111659,PayPay決済金額,,3080,0,3080
2022/06/30,az-market-10111652,ワイジェイカード・PayPayカード決済金額,,4680,0,4680
2022/06/30,az-market-10111651,PayPay決済金額,,4080,0,4080
2022/06/30,az-market-10111649,ワイジェイカード・PayPayカード決済金額,,2979,0,2979
2022/06/30,az-market-10111679,ワイジェイカード・PayPayカード決済金額,,34100,0,34100
2022/06/30,az-market-10111678,カード決済金額,,2490,0,2490
2022/06/30,az-market-10111673,ワイジェイカード・PayPayカード決済金額,,3080,0,3080
2022/06/30,az-market-10111671,ワイジェイカード・PayPayカード決済金額,,4034,0,4034
2022/06/30,az-market-10111666,PayPay決済金額,,1915,0,1915
2022/06/30,az-market-10111663,PayPay決済金額,,1234,0,1234
2022/06/30,az-market-10111660,ワイジェイカード・PayPayカード決済金額,,728,0,728
2022/06/30,az-market-10111657,カード決済金額,,2490,0,2490
2022/06/30,az-market-10111655,PayPay決済金額,,6051,0,6051
2022/06/30,az-market-10111650,PayPay決済金額,,2490,0,2490
2022/06/30,az-market-10111674,PayPay決済金額,,2017,0,2017
2022/06/30,az-market-10111670,PayPay決済金額,,2017,0,2017
2022/06/30,az-market-10111669,PayPay決済金額,,3480,0,3480
2022/06/30,az-market-10111668,PayPay決済金額,,2490,0,2490
2022/06/30,az-market-10111667,PayPay決済金額,,2017,0,2017
2022/06/30,az-market-10111665,ワイジェイカード・PayPayカード決済金額,,3780,0,3780
2022/06/30,az-market-10111663,ワイジェイカード・PayPayカード決済金額,,1186,0,1186
2022/06/30,az-market-10111658,PayPay決済金額,,2420,0,2420
2022/06/30,az-market-10111656,PayPay決済金額,,1280,0,1280
2022/06/30,az-market-10111653,PayPay決済金額,,1280,0,1280
2022/06/30,az-market-10111647,PayPayあと払い決済金額,,66000,0,66000
2022/06/30,az-market-10111646,ワイジェイカード・PayPayカード決済金額,,9560,0,9560
2022/06/30,az-market-10111680,PayPay決済金額,,3036,0,3036
2022/06/30,az-market-10111648,カード決済金額,,7760,0,7760
2022/06/30,az-market-10111673,モールクーポン利用料,,500,0,500
2022/06/29,az-market-10111639,PayPay決済金額,,605,0,605
2022/06/29,az-market-10111634,PayPay決済金額,,3580,0,3580
