利用日,注文ID,利用項目,備考,金額（税抜き）,消費税,金額（税込）
2022/06/13,az-market-10110775,PayPayモール掲載料,,163,16,179
2022/06/13,az-market-10110749,PayPayモール掲載料,,35,3,38
2022/06/13,az-market-10110828,PayPayモール掲載料,,108,10,118
2022/06/13,az-market-10110770,PayPayモール掲載料,,86,8,94
2022/06/13,az-market-10110727,PayPayモール掲載料,,68,6,74
2022/06/13,az-market-10110725,PayPayモール掲載料,,86,8,94
2022/06/13,az-market-10110752,PayPayモール掲載料,,56,5,61
2022/06/13,az-market-10110766,PayPayモール掲載料,,68,6,74
2022/06/13,az-market-10110763,PayPayモール掲載料,,89,8,97
2022/06/13,az-market-10110754,PayPayモール掲載料,,133,13,146
2022/06/13,az-market-10110721,PayPayモール掲載料,,100,10,110
2022/06/13,az-market-10110745,PayPayモール掲載料,,266,26,292
2022/06/13,az-market-10110745,PayPayモール掲載料,,133,13,146
2022/06/13,az-market-10110740,PayPayモール掲載料,,315,31,346
2022/06/13,az-market-10110740,PayPayモール掲載料,,14,1,15
2022/06/13,az-market-10110771,PayPayモール掲載料,,100,10,110
2022/06/13,az-market-10110761,PayPayモール掲載料,,82,8,90
2022/06/13,az-market-10110884,PRオプション利用料,,114,11,125
2022/06/13,az-market-10110851,PRオプション利用料,,360,36,396
2022/06/13,az-market-10110863,PRオプション利用料,,360,36,396
2022/06/13,az-market-10110863,PRオプション利用料,,25,2,27
2022/06/13,az-market-10110893,PRオプション利用料,,175,17,192
2022/06/13,az-market-10110880,PRオプション利用料,,114,11,125
2022/06/13,az-market-10110889,PRオプション利用料,,114,11,125
2022/06/13,az-market-10110883,PRオプション利用料,,545,54,599
2022/06/13,az-market-10110852,PRオプション利用料,,136,13,149
2022/06/13,az-market-10110900,PRオプション利用料,,184,18,202
2022/06/13,az-market-10110890,PRオプション利用料,,175,17,192
2022/06/13,az-market-10110881,PRオプション利用料,,545,54,599
2022/06/13,az-market-10110887,PRオプション利用料,,175,17,192
2022/06/13,az-market-10110867,PRオプション利用料,,332,33,365
2022/06/13,az-market-10110867,PRオプション利用料,,23,2,25
2022/06/13,az-market-10110885,PRオプション利用料,,332,33,365
2022/06/13,az-market-10110783,PRオプション利用料,,136,13,149
2022/06/13,az-market-10110857,PRオプション利用料,,114,11,125
2022/06/13,az-market-10110827,PRオプション利用料,,184,18,202
2022/06/13,az-market-10110902,PRオプション利用料,,114,11,125
2022/06/13,az-market-10110872,PRオプション利用料,,162,16,178
